Score,title,abstract,paperId
100.000%,OpenMU: Your Swiss Army Knife for Music Understanding,"We present OpenMU-Bench, a large-scale benchmark suite for addressing the
data scarcity issue in training multimodal language models to understand music.
To construct OpenMU-Bench, we leveraged existing datasets and bootstrapped new
annotations. OpenMU-Bench also broadens the scope of music understanding by
including lyrics understanding and music tool usage. Using OpenMU-Bench, we
trained our music understanding model, OpenMU, with extensive ablations,
demonstrating that OpenMU outperforms baseline models such as MU-Llama. Both
OpenMU and OpenMU-Bench are open-sourced to facilitate future research in music
understanding and to enhance creative music production efficiency.",9b689793009bd46f01116a1ef1c73363af8a25e6
100.000%,"AI TrackMate: Finally, Someone Who Will Give Your Music More Than Just ""Sounds Great!""","The rise of ""bedroom producers"" has democratized music creation, while
challenging producers to objectively evaluate their work. To address this, we
present AI TrackMate, an LLM-based music chatbot designed to provide
constructive feedback on music productions. By combining LLMs' inherent musical
knowledge with direct audio track analysis, AI TrackMate offers
production-specific insights, distinguishing it from text-only approaches. Our
framework integrates a Music Analysis Module, an LLM-Readable Music Report, and
Music Production-Oriented Feedback Instruction, creating a plug-and-play,
training-free system compatible with various LLMs and adaptable to future
advancements. We demonstrate AI TrackMate's capabilities through an interactive
web interface and present findings from a pilot study with a music producer. By
bridging AI capabilities with the needs of independent producers, AI TrackMate
offers on-demand analytical feedback, potentially supporting the creative
process and skill development in music production. This system addresses the
growing demand for objective self-assessment tools in the evolving landscape of
independent music production.",066f76cecf194b4294940a10febfdf9700173adb
100.000%,Pengi: An Audio Language Model for Audio Tasks,"In the domain of audio processing, Transfer Learning has facilitated the rise
of Self-Supervised Learning and Zero-Shot Learning techniques. These approaches
have led to the development of versatile models capable of tackling a wide
array of tasks, while delivering state-of-the-art performance. However, current
models inherently lack the capacity to produce the requisite language for
open-ended tasks, such as Audio Captioning or Audio Question & Answering. We
introduce Pengi, a novel Audio Language Model that leverages Transfer Learning
by framing all audio tasks as text-generation tasks. It takes as input, an
audio recording, and text, and generates free-form text as output. The input
audio is represented as a sequence of continuous embeddings by an audio
encoder. A text encoder does the same for the corresponding text input. Both
sequences are combined as a prefix to prompt a pre-trained frozen language
model. The unified architecture of Pengi enables open-ended tasks and
close-ended tasks without any additional fine-tuning or task-specific
extensions. When evaluated on 22 downstream tasks, our approach yields
state-of-the-art performance in several of them. Our results show that
connecting language models with audio models is a major step towards
general-purpose audio understanding",ad22af138fa1d1490cda0301abf8159a7c30c5a2
99.998%,"Listen, Think, and Understand","The ability of artificial intelligence (AI) systems to perceive and
comprehend audio signals is crucial for many applications. Although significant
progress has been made in this area since the development of AudioSet, most
existing models are designed to map audio inputs to pre-defined, discrete sound
label sets. In contrast, humans possess the ability to not only classify sounds
into general categories, but also to listen to the finer details of the sounds,
explain the reason for the predictions, think about what the sound infers, and
understand the scene and what action needs to be taken, if any. Such
capabilities beyond perception are not yet present in existing audio models. On
the other hand, modern large language models (LLMs) exhibit emerging reasoning
ability but they lack audio perception capabilities. Therefore, we ask the
question: can we build a model that has both audio perception and a reasoning
ability?
  In this paper, we propose a new audio foundation model, called LTU (Listen,
Think, and Understand). To train LTU, we created a new OpenAQA-5M dataset
consisting of 1.9 million closed-ended and 3.7 million open-ended, diverse
(audio, question, answer) tuples, and have used an autoregressive training
framework with a perception-to-understanding curriculum. LTU demonstrates
strong performance and generalization ability on conventional audio tasks such
as classification and captioning. More importantly, it exhibits emerging audio
reasoning and comprehension abilities that are absent in existing audio models.
To the best of our knowledge, LTU is one of the first multimodal large language
models that focus on general audio (rather than just speech) understanding.",4bb0b12803791764d641a4cef1e0ce39cf049542
99.988%,A Survey of Foundation Models for Music Understanding,"Music is essential in daily life, fulfilling emotional and entertainment
needs, and connecting us personally, socially, and culturally. A better
understanding of music can enhance our emotions, cognitive skills, and cultural
connections. The rapid advancement of artificial intelligence (AI) has
introduced new ways to analyze music, aiming to replicate human understanding
of music and provide related services. While the traditional models focused on
audio features and simple tasks, the recent development of large language
models (LLMs) and foundation models (FMs), which excel in various fields by
integrating semantic information and demonstrating strong reasoning abilities,
could capture complex musical features and patterns, integrate music with
language and incorporate rich musical, emotional and psychological knowledge.
Therefore, they have the potential in handling complex music understanding
tasks from a semantic perspective, producing outputs closer to human
perception. This work, to our best knowledge, is one of the early reviews of
the intersection of AI techniques and music understanding. We investigated,
analyzed, and tested recent large-scale music foundation models in respect of
their music comprehension abilities. We also discussed their limitations and
proposed possible future directions, offering insights for researchers in this
field.",132f4b25b7e5a8494a9f71e36123905eef6be106
99.984%,SALMONN: Towards Generic Hearing Abilities for Large Language Models,"Hearing is arguably an essential ability of artificial intelligence (AI)
agents in the physical world, which refers to the perception and understanding
of general auditory information consisting of at least three types of sounds:
speech, audio events, and music. In this paper, we propose SALMONN, a speech
audio language music open neural network, built by integrating a pre-trained
text-based large language model (LLM) with speech and audio encoders into a
single multimodal model. SALMONN enables the LLM to directly process and
understand general audio inputs and achieve competitive performances on a
number of speech and audio tasks used in training, such as automatic speech
recognition and translation, auditory-information-based question answering,
emotion recognition, speaker verification, and music and audio captioning etc.
SALMONN also has a diverse set of emergent abilities unseen in the training,
which includes but is not limited to speech translation to untrained languages,
speech-based slot filling, spoken-query-based question answering, audio-based
storytelling, and speech audio co-reasoning etc. The presence of cross-modal
emergent abilities is studied, and a novel few-shot activation tuning approach
is proposed to activate such abilities. To our knowledge, SALMONN is the first
model of its type and can be regarded as a step towards AI with generic hearing
abilities. The source code, model checkpoints and data are available at
https://github.com/bytedance/SALMONN.",f72be31de9f9a09d4410fd38bc717efe43444827
99.807%,Audio Flamingo 2: An Audio-Language Model with Long-Audio Understanding and Expert Reasoning Abilities,"Understanding and reasoning over non-speech sounds and music are crucial for
both humans and AI agents to interact effectively with their environments. In
this paper, we introduce Audio Flamingo 2 (AF2), an Audio-Language Model (ALM)
with advanced audio understanding and reasoning capabilities. AF2 leverages (i)
a custom CLAP model, (ii) synthetic Audio QA data for fine-grained audio
reasoning, and (iii) a multi-stage curriculum learning strategy. AF2 achieves
state-of-the-art performance with only a 3B parameter small language model,
surpassing large open-source and proprietary models across over 20 benchmarks.
Next, for the first time, we extend audio understanding to long audio segments
(30 secs to 5 mins) and propose LongAudio, a large and novel dataset for
training ALMs on long audio captioning and question-answering tasks.
Fine-tuning AF2 on LongAudio leads to exceptional performance on our proposed
LongAudioBench, an expert annotated benchmark for evaluating ALMs on long audio
understanding capabilities. We conduct extensive ablation studies to confirm
the efficacy of our approach. Project Website:
https://research.nvidia.com/labs/adlr/AF2/.",b4ef23c8662afc319e7fa85f76a88ac9e06750a3
99.807%,Evaluation of Pretrained Language Models on Music Understanding,"Music-text multimodal systems have enabled new approaches to Music
Information Research (MIR) applications such as audio-to-text and text-to-audio
retrieval, text-based song generation, and music captioning. Despite the
reported success, little effort has been put into evaluating the musical
knowledge of Large Language Models (LLM). In this paper, we demonstrate that
LLMs suffer from 1) prompt sensitivity, 2) inability to model negation (e.g.
'rock song without guitar'), and 3) sensitivity towards the presence of
specific words. We quantified these properties as a triplet-based accuracy,
evaluating the ability to model the relative similarity of labels in a
hierarchical ontology. We leveraged the Audioset ontology to generate triplets
consisting of an anchor, a positive (relevant) label, and a negative (less
relevant) label for the genre and instruments sub-tree. We evaluated the
triplet-based musical knowledge for six general-purpose Transformer-based
models. The triplets obtained through this methodology required filtering, as
some were difficult to judge and therefore relatively uninformative for
evaluation purposes. Despite the relatively high accuracy reported,
inconsistencies are evident in all six models, suggesting that off-the-shelf
LLMs need adaptation to music before use.",6064e01abf9fba9c240ceecea99c12bb7f72b2c7
99.593%,Qwen-Audio: Advancing Universal Audio Understanding via Unified Large-Scale Audio-Language Models,"Recently, instruction-following audio-language models have received broad
attention for audio interaction with humans. However, the absence of
pre-trained audio models capable of handling diverse audio types and tasks has
hindered progress in this field. Consequently, most existing works have only
been able to support a limited range of interaction capabilities. In this
paper, we develop the Qwen-Audio model and address this limitation by scaling
up audio-language pre-training to cover over 30 tasks and various audio types,
such as human speech, natural sounds, music, and songs, to facilitate universal
audio understanding abilities. However, directly co-training all tasks and
datasets can lead to interference issues, as the textual labels associated with
different datasets exhibit considerable variations due to differences in task
focus, language, granularity of annotation, and text structure. To overcome the
one-to-many interference, we carefully design a multi-task training framework
by conditioning on a sequence of hierarchical tags to the decoder for
encouraging knowledge sharing and avoiding interference through shared and
specified tags respectively. Remarkably, Qwen-Audio achieves impressive
performance across diverse benchmark tasks without requiring any task-specific
fine-tuning, surpassing its counterparts. Building upon the capabilities of
Qwen-Audio, we further develop Qwen-Audio-Chat, which allows for input from
various audios and text inputs, enabling multi-turn dialogues and supporting
various audio-central scenarios.",f90595f99a0c66d2bb6d0f230f17c7cd8c58f44d
92.414%,"Audioclip: Extending Clip to Image, Text and Audio","In the past, the rapidly evolving field of sound classification greatly
benefited from the application of methods from other domains. Today, we observe
the trend to fuse domain-specific tasks and approaches together, which provides
the community with new outstanding models.
  In this work, we present an extension of the CLIP model that handles audio in
addition to text and images. Our proposed model incorporates the ESResNeXt
audio-model into the CLIP framework using the AudioSet dataset. Such a
combination enables the proposed model to perform bimodal and unimodal
classification and querying, while keeping CLIP's ability to generalize to
unseen datasets in a zero-shot inference fashion.
  AudioCLIP achieves new state-of-the-art results in the Environmental Sound
Classification (ESC) task, out-performing other approaches by reaching
accuracies of 90.07% on the UrbanSound8K and 97.15% on the ESC-50 datasets.
Further it sets new baselines in the zero-shot ESC-task on the same datasets
(68.78% and 69.40%, respectively).
  Finally, we also assess the cross-modal querying performance of the proposed
model as well as the influence of full and partial training on the results. For
the sake of reproducibility, our code is published.",fda4530df9eec0e3f714dba3459ac50dab17d89c
88.080%,Solla: Towards a Speech-Oriented LLM That Hears Acoustic Context,"Large Language Models (LLMs) have recently shown remarkable ability to
process not only text but also multimodal inputs such as speech and audio.
However, most existing models primarily focus on analyzing input signals using
text instructions, overlooking scenarios in which speech instructions and audio
are mixed and serve as inputs to the model. To address these challenges, we
introduce Solla, a novel framework designed to understand speech-based
questions and hear the acoustic context concurrently. Solla incorporates an
audio tagging module to effectively identify and represent audio events, as
well as an ASR-assisted prediction method to improve comprehension of spoken
content. To rigorously evaluate Solla and other publicly available models, we
propose a new benchmark dataset called SA-Eval, which includes three tasks:
audio event classification, audio captioning, and audio question answering.
SA-Eval has diverse speech instruction with various speaking styles,
encompassing two difficulty levels, easy and hard, to capture the range of
real-world acoustic conditions. Experimental results show that Solla performs
on par with or outperforms baseline models on both the easy and hard test sets,
underscoring its effectiveness in jointly understanding speech and audio.",be17584daaf5077707ffa1b5007ae4f5c6629378
88.080%,"The Music Maestro or The Musically Challenged, A Massive Music Evaluation Benchmark for Large Language Models","Benchmark plays a pivotal role in assessing the advancements of large
language models (LLMs). While numerous benchmarks have been proposed to
evaluate LLMs' capabilities, there is a notable absence of a dedicated
benchmark for assessing their musical abilities. To address this gap, we
present ZIQI-Eval, a comprehensive and large-scale music benchmark specifically
designed to evaluate the music-related capabilities of LLMs. ZIQI-Eval
encompasses a wide range of questions, covering 10 major categories and 56
subcategories, resulting in over 14,000 meticulously curated data entries. By
leveraging ZIQI-Eval, we conduct a comprehensive evaluation over 16 LLMs to
evaluate and analyze LLMs' performance in the domain of music. Results indicate
that all LLMs perform poorly on the ZIQI-Eval benchmark, suggesting significant
room for improvement in their musical capabilities. With ZIQI-Eval, we aim to
provide a standardized and robust evaluation framework that facilitates a
comprehensive assessment of LLMs' music-related abilities. The dataset is
available at GitHub\footnote{https://github.com/zcli-charlie/ZIQI-Eval} and
HuggingFace\footnote{https://huggingface.co/datasets/MYTH-Lab/ZIQI-Eval}.",195603df4d280f9b1a2cd300b813c5672a95b371
81.757%,AnyGPT: Unified Multimodal LLM with Discrete Sequence Modeling,"We introduce AnyGPT, an any-to-any multimodal language model that utilizes
discrete representations for the unified processing of various modalities,
including speech, text, images, and music. AnyGPT can be trained stably without
any alterations to the current large language model (LLM) architecture or
training paradigms. Instead, it relies exclusively on data-level preprocessing,
facilitating the seamless integration of new modalities into LLMs, akin to the
incorporation of new languages. We build a multimodal text-centric dataset for
multimodal alignment pre-training. Utilizing generative models, we synthesize
the first large-scale any-to-any multimodal instruction dataset. It consists of
108k samples of multi-turn conversations that intricately interweave various
modalities, thus equipping the model to handle arbitrary combinations of
multimodal inputs and outputs. Experimental results demonstrate that AnyGPT is
capable of facilitating any-to-any multimodal conversation while achieving
performance comparable to specialized models across all modalities, proving
that discrete representations can effectively and conveniently unify multiple
modalities within a language model. Demos are shown in
https://junzhan2000.github.io/AnyGPT.github.io/",14191e9f12913ad8c7ac6e1188682afac04aad09
37.754%,Large-Scale Contrastive Language-Audio Pretraining with Feature Fusion and Keyword-to-Caption Augmentation,"Contrastive learning has shown remarkable success in the field of multimodal
representation learning. In this paper, we propose a pipeline of contrastive
language-audio pretraining to develop an audio representation by combining
audio data with natural language descriptions. To accomplish this target, we
first release LAION-Audio-630K, a large collection of 633,526 audio-text pairs
from different data sources. Second, we construct a contrastive language-audio
pretraining model by considering different audio encoders and text encoders. We
incorporate the feature fusion mechanism and keyword-to-caption augmentation
into the model design to further enable the model to process audio inputs of
variable lengths and enhance the performance. Third, we perform comprehensive
experiments to evaluate our model across three tasks: text-to-audio retrieval,
zero-shot audio classification, and supervised audio classification. The
results demonstrate that our model achieves superior performance in
text-to-audio retrieval task. In audio classification tasks, the model achieves
state-of-the-art performance in the zero-shot setting and is able to obtain
performance comparable to models' results in the non-zero-shot setting.
LAION-Audio-630K and the proposed model are both available to the public.",e9bc29cfcfbea4d137652d10715a9c9389349a90
22.270%,MMAU: A Massive Multi-Task Audio Understanding and Reasoning Benchmark,"The ability to comprehend audio--which includes speech, non-speech sounds,
and music--is crucial for AI agents to interact effectively with the world. We
present MMAU, a novel benchmark designed to evaluate multimodal audio
understanding models on tasks requiring expert-level knowledge and complex
reasoning. MMAU comprises 10k carefully curated audio clips paired with
human-annotated natural language questions and answers spanning speech,
environmental sounds, and music. It includes information extraction and
reasoning questions, requiring models to demonstrate 27 distinct skills across
unique and challenging tasks. Unlike existing benchmarks, MMAU emphasizes
advanced perception and reasoning with domain-specific knowledge, challenging
models to tackle tasks akin to those faced by experts. We assess 18 open-source
and proprietary (Large) Audio-Language Models, demonstrating the significant
challenges posed by MMAU. Notably, even the most advanced Gemini Pro v1.5
achieves only 52.97% accuracy, and the state-of-the-art open-source Qwen2-Audio
achieves only 52.50%, highlighting considerable room for improvement. We
believe MMAU will drive the audio and multimodal research community to develop
more advanced audio understanding models capable of solving complex audio
tasks.",c0605c96870e59b4caf2247a98c6bd3aad25882f
11.920%,From Audio Encoders to Piano Judges: Benchmarking Performance Understanding for Solo Piano,"Our study investigates an approach for understanding musical performances
through the lens of audio encoding models, focusing on the domain of solo
Western classical piano music. Compared to composition-level attribute
understanding such as key or genre, we identify a knowledge gap in
performance-level music understanding, and address three critical tasks:
expertise ranking, difficulty estimation, and piano technique detection,
introducing a comprehensive Pianism-Labelling Dataset (PLD) for this purpose.
We leverage pre-trained audio encoders, specifically Jukebox, Audio-MAE, MERT,
and DAC, demonstrating varied capabilities in tackling downstream tasks, to
explore whether domain-specific fine-tuning enhances capability in capturing
performance nuances. Our best approach achieved 93.6\% accuracy in expertise
ranking, 33.7\% in difficulty estimation, and 46.7\% in technique detection,
with Audio-MAE as the overall most effective encoder. Finally, we conducted a
case study on Chopin Piano Competition data using trained models for expertise
ranking, which highlights the challenge of accurately assessing top-tier
performances.",c64e8dcebefc18d3b0159a0893aba0a4cd93d6dd
9.535%,Megrez-Omni Technical Report,"In this work, we present the Megrez models, comprising a language model
(Megrez-3B-Instruct) and a multimodal model (Megrez-3B-Omni). These models are
designed to deliver fast inference, compactness, and robust edge-side
intelligence through a software-hardware co-design approach. Megrez-3B-Instruct
offers several advantages, including high accuracy, high speed, ease of use,
and a wide range of applications. Building on Megrez-3B-Instruct,
Megrez-3B-Omni is an on-device multimodal understanding LLM that supports
image, text, and audio analysis. It achieves state-of-the-art accuracy across
all three modalities and demonstrates strong versatility and robustness,
setting a new benchmark for multimodal AI models.",0bef0c20b84cc3a944513fe3e2ff9bab90713fff
3.733%,Wav2CLIP: Learning Robust Audio Representations from Clip,"We propose Wav2CLIP, a robust audio representation learning method by
distilling from Contrastive Language-Image Pre-training (CLIP). We
systematically evaluate Wav2CLIP on a variety of audio tasks including
classification, retrieval, and generation, and show that Wav2CLIP can
outperform several publicly available pre-trained audio representation
algorithms. Wav2CLIP projects audio into a shared embedding space with images
and text, which enables multimodal applications such as zero-shot
classification, and cross-modal retrieval. Furthermore, Wav2CLIP needs just
~10% of the data to achieve competitive performance on downstream tasks
compared with fully supervised models, and is more efficient to pre-train than
competing methods as it does not require learning a visual model in concert
with an auditory model. Finally, we demonstrate image generation from Wav2CLIP
as qualitative assessment of the shared embedding space. Our code and model
weights are open sourced and made available for further applications.",7dfcc5c22859cee318b404f1dadb207c312c7c92
